pkMemberMembershipID,dDateEntered,dTimeEntered,fkEmployeeID,fkMemberID,tCycle,nCycleAmount,bVisitsRestriction,nVisitsAllowed,bDaysRestriction,tDaysAllowed,bTimesRestriction,tTimesAllowed,dStartDate,dEndDate,cMembershipPrice,cEnrollmentFee,tDiscount,tDiscountReason,cTotalCharged,bActive,nCierre,tRenew,bPaid,cSalesTax,tMembershipName,dFrozenDate
113,"03/30/26 00:00:00","12/30/99 19:58:53","1001","1110","MONTHS",1,0,0,0,,0,,"03/30/26 00:00:00","04/30/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",1,0.0000,"MENSUALIDAD",
114,"03/30/26 00:00:00","12/30/99 20:58:35","1001","1112","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",980.0000,0.0000,"-$0",,980.0000,1,1,"0",0,0.0000,"PREVENTA 980",
115,"03/31/26 00:00:00","12/30/99 05:45:22","1001","1113","MONTHS",1,0,0,0,,0,,"03/31/26 00:00:00","04/30/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
77,"03/17/26 00:00:00","12/30/99 20:54:41","1001","1073","MONTHS",1,0,0,0,,0,,"03/17/26 00:00:00","04/17/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
78,"03/18/26 00:00:00","12/30/99 08:26:02","1001","1074","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
79,"03/18/26 00:00:00","12/30/99 08:29:17","1001","1075","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",980.0000,0.0000,"-$0",,980.0000,1,1,"0",0,0.0000,"PREVENTA 980",
80,"03/18/26 00:00:00","12/30/99 08:32:34","1001","1076","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",980.0000,400.0000,"-$0",,1380.0000,1,1,"0",0,0.0000,"PREVENTA 980",
81,"03/18/26 00:00:00","12/30/99 08:40:08","1001","1077","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",900.0000,0.0000,"-$0",,900.0000,1,1,"0",0,0.0000,"CONVENIO LUPITA",
82,"03/18/26 00:00:00","12/30/99 08:45:17","1001","1078","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
83,"03/18/26 00:00:00","12/30/99 09:08:06","1001","1079","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
85,"03/18/26 00:00:00","12/30/99 09:13:36","1001","1081","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
86,"03/18/26 00:00:00","12/30/99 10:16:48","1001","1080","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
87,"03/18/26 00:00:00","12/30/99 18:13:49","1001","1044","MONTHS",1,0,0,0,,0,,"03/12/26 00:00:00","04/12/26 00:00:00",900.0000,0.0000,"-$0",,900.0000,1,1,"0",0,0.0000,"CONVENIO LUPITA",
88,"03/18/26 00:00:00","12/30/99 19:42:59","1001","1082","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",900.0000,0.0000,"-$0",,900.0000,1,1,"0",0,0.0000,"CONVENIO LUPITA",
89,"03/18/26 00:00:00","12/30/99 20:07:28","1001","1083","MONTHS",3,0,0,0,,0,,"03/18/26 00:00:00","06/18/26 00:00:00",2900.0000,0.0000,"-$0",,2900.0000,1,1,"0",0,0.0000,"TRIMESTRE",
90,"03/18/26 00:00:00","12/30/99 20:12:37","1001","1084","MONTHS",1,0,0,0,,0,,"03/18/26 00:00:00","04/18/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
91,"03/19/26 00:00:00","12/30/99 06:49:42","1001","1085","MONTHS",3,0,0,0,,0,,"03/19/26 00:00:00","06/19/26 00:00:00",0.0000,0.0000,"-$0",,0.0000,1,1,"0",0,0.0000,"ENTRENADORES",
92,"03/19/26 00:00:00","12/30/99 07:36:07","1001","1086","MONTHS",3,0,0,0,,0,,"03/19/26 00:00:00","06/19/26 00:00:00",0.0000,0.0000,"-$0",,0.0000,1,1,"0",0,0.0000,"ENTRENADORES",
93,"03/19/26 00:00:00","12/30/99 19:59:09","1001","1088","MONTHS",3,0,0,0,,0,,"03/19/26 00:00:00","06/19/26 00:00:00",0.0000,0.0000,"-$0",,0.0000,1,1,"0",0,0.0000,"ENTRENADORES",
94,"03/19/26 00:00:00","12/30/99 21:07:48","1001","1089","MONTHS",3,0,0,0,,0,,"03/19/26 00:00:00","06/19/26 00:00:00",0.0000,0.0000,"-$0",,0.0000,1,1,"0",0,0.0000,"ENTRENADORES",
95,"03/20/26 00:00:00","12/30/99 06:30:05","1001","1090","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",1,0.0000,"MENSUALIDAD",
96,"03/20/26 00:00:00","12/30/99 06:31:31","1001","1090","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",980.0000,0.0000,"-$0",,980.0000,1,1,"0",1,0.0000,"PREVENTA 980",
97,"03/20/26 00:00:00","12/30/99 07:03:46","1001","1091","MONTHS",1,0,0,0,,0,,"03/20/26 00:00:00","04/20/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
98,"03/23/26 00:00:00","12/30/99 07:07:33","1001","1092","MONTHS",1,0,0,0,,0,,"03/23/26 00:00:00","04/23/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
99,"03/23/26 00:00:00","12/30/99 09:07:25","1001","1093","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",980.0000,0.0000,"-$0",,980.0000,1,1,"0",0,0.0000,"PREVENTA 980",
